time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2024-6-1 0:00,29,26,84,0.4,,237,4,,1011,,8
2024-6-1 1:00,28,26,89,0,,247,4,,1011,,3
2024-6-1 2:00,28,26,89,1.6,,272,4,,1010,,9
2024-6-1 3:00,28,26,89,2.9,,260,2,,1009,,9
2024-6-1 4:00,28,26.9,94,2,,284,4,,1009,,9
2024-6-1 5:00,27,23,79,1.7,,230,9,,1009,,9
2024-6-1 6:00,26,24,89,0.2,,30,6,,1009,,7
2024-6-1 7:00,26,24,89,6.7,,350,7,,1009,,9
2024-6-1 8:00,26,25,94,3.4,,112,4,,1010,,9
2024-6-1 9:00,27,25,89,3.9,,190,11,,1012,,9
2024-6-1 10:00,26,25,94,0.5,,140,9,,1013,,8
2024-6-1 11:00,26,25,94,0.1,,140,7,,1013,,17
2024-6-1 12:00,26,25,94,0,,70,6,,1013,,3
2024-6-1 13:00,26,24,89,0.4,,220,6,,1011,,8
2024-6-1 14:00,27,24.1,84,2.9,,140,7,,1011,,9
2024-6-1 15:00,28,25,84,0.6,,220,7,,1010,,8
2024-6-1 16:00,28,24,79,0,,210,9,,1009,,3
2024-6-1 17:00,28,25,84,0,,180,11,,1009,,3
2024-6-1 18:00,28,25,84,0,,210,7,,1010,,3
2024-6-1 19:00,28,25,84,0,,272,2,,1010,,3
2024-6-1 20:00,28,24,79,0,,200,7,,1011,,3
2024-6-1 21:00,27,25,89,0,,258,4,,1011,,3
2024-6-1 22:00,27,25,89,0,,261,13,,1012,,3
2024-6-1 23:00,27,25,89,0,,231,4,,1012,,3
2024-6-2 0:00,27,25,89,0,,236,2,,1012,,3
2024-6-2 1:00,27,25,89,0,,243,2,,1011,,3
2024-6-2 2:00,26,25,94,0,,260,2,,1011,,3
2024-6-2 3:00,27,25,89,0,,295,4,,1010,,3
2024-6-2 4:00,26,25,94,0,,220,2,,1009,,3
2024-6-2 5:00,26,25,94,0,,200,2,,1009,,3
2024-6-2 6:00,26,25,94,0,,290,6.1,,1010,,3
2024-6-2 7:00,26,25,94,0,,253,2,,1011,,3
2024-6-2 8:00,27,25,89,0,,223,2,,1011,,3
2024-6-2 9:00,28,25,84,0,,218,4,,1012,,3
2024-6-2 10:00,29,25,79,0,,281,4,,1012,,3
2024-6-2 11:00,30,25.1,75,0,,265,4,,1012,,3
2024-6-2 12:00,32,24.1,63,0,,150,9,,1012,,3
2024-6-2 13:00,32,24.1,63,0,,153,4,,1011,,3
2024-6-2 14:00,29,24.1,75,0,,170,13,,1010,,3
2024-6-2 15:00,29,24.1,75,0,,150,7,,1010,,3
2024-6-2 16:00,26,25,94,0,,330,4,,1010,,3
2024-6-2 17:00,26,25,94,0,,119,4,,1010,,3
2024-6-2 18:00,26,24,89,0,,130,9,,1010,,3
2024-6-2 19:00,26,24,89,0,,170,9,,1010,,3
2024-6-2 20:00,26,25,94,0,,180,6,,1011,,3
2024-6-2 21:00,26,25,94,1.8,,21,2,,1012,,9
2024-6-2 22:00,26,25,94,0.6,,3,15.1,,1013,,8
2024-6-2 23:00,26,25,94,1.7,,276,2,,1013,,9
2024-6-3 0:00,26,25,94,1.2,,43,2,,1013,,9
2024-6-3 1:00,26,26,100,0.9,,340,6,,1012,,8
2024-6-3 2:00,26,25,94,0.3,,220,4,,1011,,8
2024-6-3 3:00,26,25,94,0.1,,340,6,,1011,,7
2024-6-3 4:00,26,25,94,0,,254,2,,1010,,5
2024-6-3 5:00,24.5,24,97,0,,280,4,,1010.6,,5
2024-6-3 6:00,26,25,94,0,,276,4,,1010,,5
2024-6-3 7:00,26,26,100,0,,298,2,,1010,,5
2024-6-3 8:00,27,26,94,0,,295,2,,1011,,5
2024-6-3 9:00,28,26,89,0,,288,2,,1012,,3
2024-6-3 10:00,30,25.1,75,0,,20,6,,1012,,3
2024-6-3 11:00,30,23.9,70,0,,352,4,,1011,,3
2024-6-3 12:00,32,23,59,0,,10,4,,1011,,3
2024-6-3 13:00,32,25.1,67,0,,190,9,,1010,,3
2024-6-3 14:00,34,25.1,60,0.1,,120,6,,1009,,17
2024-6-3 15:00,32,23,59,0,,110,9,,1009,,3
2024-6-3 16:00,32,23,59,0,,110,7,,1008,,2
2024-6-3 17:00,31,23.9,66,1.4,,130,11,,1008,,9
2024-6-3 18:00,27,23,79,0,,260,7,,1009,,3
2024-6-3 19:00,27,23,79,0,,332,2,,1009,,2
2024-6-3 20:00,27,23,79,0,,324,4,,1009,,1
2024-6-3 21:00,27,24.1,84,0,,3,2,,1010,,2
2024-6-3 22:00,27,25,89,0,,357,2,,1011,,2
2024-6-3 23:00,27,25,89,0,,310,2,,1011,,3
2024-6-4 0:00,28,25,84,0,,340,7,,1012,,5
2024-6-4 1:00,28,25,84,0,,315,4,,1011,,5
2024-6-4 2:00,27,26,94,0,,326,2,,1011,,5
2024-6-4 3:00,27,25,89,0,,323,2,,1010,,3
2024-6-4 4:00,27,25,89,0,,325,2,,1010,,3
2024-6-4 5:00,26,25,94,0,,309,5.8,,1010,,3
2024-6-4 6:00,26,25,94,0,,325,2,,1010,,3
2024-6-4 7:00,26,25,94,0,,323,4,,1010,,3
2024-6-4 8:00,27,26,94,0,,324,2,,1011,,3
2024-6-4 9:00,29,26,84,0,,14,2,,1011,,3
2024-6-4 10:00,30,26,79,0,,130,11,,1012,,3
2024-6-4 11:00,31,25.1,71,3.1,,140,9,,1012,,18
2024-6-4 12:00,32,26.1,71,1.9,,130,11,,1011,,9
2024-6-4 13:00,33,26.1,67,0.7,,182,6,,1011,,8
2024-6-4 14:00,33,23.9,59,1.1,,130,9,,1010,,9
2024-6-4 15:00,33,25,63,1.2,,130,11,,1009,,9
2024-6-4 16:00,33,23.9,59,0.2,,120,13,,1008,,7
2024-6-4 17:00,32,24.1,63,0.1,,130,11,,1008,,7
2024-6-4 18:00,31,23.9,66,0,,130,11,,1008,,3
2024-6-4 19:00,29,25,79,0,,250,6,,1009,,3
2024-6-4 20:00,28,25,84,0,,260,6,,1010,,3
2024-6-4 21:00,28,25,84,0,,289,4,,1011,,3
2024-6-4 22:00,28,25,84,0,,198,2,,1011,,3
2024-6-4 23:00,28,25,84,0,,179,2,,1012,,2
2024-6-5 0:00,28,25,84,0,,185,14.4,,1012,,2
2024-6-5 1:00,28,26,89,0,,182,2,,1012,,3
2024-6-5 2:00,28,26,89,0,,192,4,,1011,,2
2024-6-5 3:00,27,26,94,0,,240,2,,1011,,3
2024-6-5 4:00,27,26,94,0,,185,12.6,,1010,,3
2024-6-5 5:00,27,26,94,0,,206,2,,1010,,2
2024-6-5 6:00,27,26,94,0,,220,2,,1010,,3
2024-6-5 7:00,27,26,94,0,,236,4,,1011,,3
2024-6-5 8:00,28,26,89,0,,260,6,,1011,,2
2024-6-5 9:00,29,25,79,0,,180,7,,1012,,3
2024-6-5 10:00,31,25.1,71,0,,150,9,,1012,,3
2024-6-5 11:00,31,23.1,63,0,,170,13,,1011,,3
2024-6-5 12:00,33,23.9,59,0,,160,11,,1011,,3
2024-6-5 13:00,32,24.1,63,0,,190,7,,1010,,3
2024-6-5 14:00,32,24.1,63,0.4,,160,11,,1010,,8
2024-6-5 15:00,34,25.1,60,0.2,,140,9,,1009,,7
